Customer Name,Account ID,Total Invoice,Order Date,Order Time,Paid Date,Paid time,Invoice Amount,Paid Amount,Status,Payment Link
Luggage to Ship - LTS,P01241001-01,1143,09-23-2024,09:12 AM,09-23-2024,09:25 AM,$50.00,$51.50,PAID INVOICE,https://www.paytome.co/i/nrfuw7cm5
Luggage to Ship - LTS,P01241001-01,1143,09-23-2024,08:54 AM,09-24-2024,06:12 AM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/8yxegchkr
Luggage to Ship - LTS,P01241001-01,1143,09-23-2024,07:55 AM,09-23-2024,09:58 AM,$6.00,$6.18,PAID INVOICE,https://www.paytome.co/i/01vfnlvpf
Luggage to Ship - LTS,P01241001-01,1143,09-23-2024,07:23 AM,09-24-2024,12:58 PM,$15.00,$15.45,PAID INVOICE,https://www.paytome.co/i/dxpqm1wvq
Luggage to Ship - LTS,P01241001-01,1143,09-19-2024,10:08 PM,09-19-2024,11:06 PM,$20.00,$20.60,PAID INVOICE,https://www.paytome.co/i/k1pntfdop
Luggage to Ship - LTS,P01241001-01,1143,09-19-2024,09:58 PM,09-19-2024,11:14 PM,$40.00,$41.20,PAID INVOICE,https://www.paytome.co/i/sjhbaedtm
Luggage to Ship - LTS,P01241001-01,1143,09-19-2024,09:36 PM,09-19-2024,11:35 PM,$15.00,$15.45,PAID INVOICE,https://www.paytome.co/i/ikllufmra
Luggage to Ship - LTS,P01241001-01,1143,09-19-2024,09:08 PM,09-20-2024,06:34 PM,$20.00,$20.60,PAID INVOICE,https://www.paytome.co/i/qgnfptz9l
Luggage to Ship - LTS,P01241001-01,1143,09-19-2024,08:28 PM,09-19-2024,09:44 PM,$14.00,$14.42,PAID INVOICE,https://www.paytome.co/i/6kqdhpujz
Luggage to Ship - LTS,P01241001-01,1143,09-16-2024,04:36 PM,09-20-2024,08:32 AM,$142.00,$146.26,PAID INVOICE,https://www.paytome.co/i/rwloo5c2a
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,01:58 PM,10-19-2024,12:31 AM,$6.48,$6.67,PAID INVOICE,https://www.paytome.co/i/figaz03gu
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,01:14 PM,09-15-2024,01:22 PM,$7.00,$7.21,PAID INVOICE,https://www.paytome.co/i/owecsmlni
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,01:11 PM,09-17-2024,10:43 AM,$19.00,$19.57,PAID INVOICE,https://www.paytome.co/i/hhkuelgrm
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,01:07 PM,09-15-2024,01:11 PM,$6.00,$6.18,PAID INVOICE,https://www.paytome.co/i/ejbsprz52
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,09:19 AM,09-15-2024,09:28 AM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/jwivn4xmk
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,09:16 AM,09-15-2024,04:12 PM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/9bcs8l2f7
Luggage to Ship - LTS,P01241001-01,1143,09-15-2024,09:12 AM,09-15-2024,12:15 PM,$10.00,$10.30,PAID INVOICE,https://www.paytome.co/i/ntbdyviqt
